"HUC_12","HUC12_POP","HH_INC","POP_DENSITY","POV_BELOW","HH_OVER65","HH_UNDER18","EDU_DEGREE","EDU_HS_MAX","OCC_UNIT_OWN","RACE_WA","RACE_NATIVE"
"170900120305",6238.45207705545,77412.6609220688,1271.19318963767,0.0602595763883568,0.203532590285263,0.477319991066037,0.431690433485985,0.234044500258953,0.794367149453512,0.88929617047673,0.0141291414520935
"170900120401",3905.21563996843,66388.4094694683,1253.69339456327,0.13691455055957,0.204658788370982,0.362720514362886,0.411796020477709,0.228561165417738,0.720865704982195,0.895271190724077,0.0300285794487187
"170900120402",1540.07265050949,53418.9272016928,130.956514313681,0.0398019999946932,0.287802320214848,0.28091849507744,0.312122824992406,0.325389468981442,0.870417458501044,0.918656104403192,0.0338939045118712
"170900120403",4711.47132070392,56416.3295330109,1563.84520070458,0.149960059500062,0.248992170871744,0.338297409159386,0.248138253864457,0.362636999685287,0.730068295696557,0.887870325119599,0.0328292333308367
"170900120404",9003.54086481056,60100.3359998109,1130.52751380411,0.112478587412439,0.251903925357803,0.370652548686573,0.292394802197401,0.312725336248918,0.794526354416636,0.896824153553072,0.031158547315549
"170900120405",9286.74608061259,55416.085586043,1519.68643942829,0.151649229301826,0.239174196819975,0.327583560031282,0.34664952303085,0.295745677388261,0.719301116437771,0.884090044466375,0.0362999319542842
"170900120500",2325.48155226752,46399.4624720552,2623.53889772035,0.127015724308421,0.317534199695269,0.0985173492171872,0.382346430213263,0.231126001072833,0.829776038533635,0.855666728671372,0.0265364028574261
"171100010101",0.0731376300211384,67500,0.00101668094968339,0.150684931506849,0,0,0.767676767676768,0.181818181818182,1,1,0
"171100010102",0.0777913800228791,67500,0.00101668094968339,0.150684931506849,0,0,0.767676767676768,0.181818181818182,1,1,0
"171100010103",0,0,0,0,0,0,0,0,0,0,0
"171100010201",0,0,0,0,0,0,0,0,0,0,0
"171100010202",0,0,0,0,0,0,0,0,0,0,0
"171100010203",0,0,0,0,0,0,0,0,0,0,0
"171100010204",0,0,0,0,0,0,0,0,0,0,0
"171100010205",0,0,0,0,0,0,0,0,0,0,0
"171100010206",0.599298220362227,40654,1.66802550719346,0.226523476523477,0.148148148148148,0.148148148148148,0.14519056261343,0.323049001814882,0.796296296296296,0.918181818181818,0.0363636363636364
"171100010207",27.3734072598353,40654,1.66802550719346,0.226523476523477,0.148148148148148,0.148148148148148,0.14519056261343,0.323049001814882,0.796296296296296,0.918181818181818,0.0363636363636364
"171100010301",6916.80402028904,61222.6550350158,790.228941378636,0.165172183943866,0.208019514717282,0.412164257417485,0.25861943623403,0.330111231268234,0.708149718143484,0.799392327422997,0.038915724136963
"171100010302",420.651809962642,54059.266867727,25.8783720014443,0.0689478020278956,0.227024506657745,0.316144172406294,0.247366872998934,0.354872866730078,0.761177609473793,0.890696317390844,0.0179361712262178
"171100020101",1170.34509808091,46107.6520284407,217.92339379693,0.191458742033527,0.347340798108908,0.183721284093148,0.396477771743657,0.271521241649817,0.808238910286331,0.900671796115484,0.0137197050228686
"171100020201",2872.99438242268,46388.7429711011,1473.24044206765,0.106510886283933,0.253188782083788,0.3539360060009,0.358947397200815,0.237912267611762,0.566283392782934,0.81712307875313,0.0264588707307614
"171100020202",9638.98926761954,63373.1443112137,340.208616815959,0.101074298302407,0.250759917876792,0.330880908071882,0.329282427808668,0.298702894041249,0.792204876536635,0.865411283731434,0.0218116790555951
"171100020203",9830.48458170285,58319.7538956782,843.215116343356,0.138759910236356,0.277945209653458,0.296385632267703,0.447209363656884,0.226604804756306,0.785968019083645,0.852579389935663,0.0338388367542633
"171100020301",675.610383769438,60099.3058295407,88.3367057406144,0.207092827792429,0.242685749574535,0.319176044390605,0.282360095559876,0.328689780156373,0.851369750918011,0.91585538867,0.0253526996306015
"171100020302",4386.2779736939,81809.1623334022,567.842862492208,0.103871855790586,0.194966554164851,0.322730495801897,0.523380882755423,0.174564972595265,0.824321469211787,0.894603881902045,0.0230515978667061
"171100020303",1990.86754529106,76331.5738103807,71.2304767966872,0.0870210822661346,0.247228918566892,0.309079519752372,0.357917044220681,0.29268660291064,0.876949086659135,0.915399109865242,0.0229734548607101
"171100020304",7521.3485393814,62832.6598706877,1145.28510702346,0.101417106334713,0.219355131356722,0.388137214543744,0.296627545775006,0.325517963616469,0.695080860686843,0.812449466115902,0.0318799610016295
"171100020401",2076.39716217719,77523.9200657266,187.122801099351,0.0265093580932253,0.279146517162395,0.249595752294444,0.529055518900891,0.2233029601422,0.836634822212751,0.899428544485503,0.0248849868115854
"171100020402",8771.96471331853,59930.5010071753,2799.05113274044,0.15347298097739,0.28565152866637,0.349119902794272,0.31982642795724,0.231178507981922,0.636883742820448,0.718773053536753,0.0188326789264072
"171100020403",13174.738697715,58886.1640771682,1477.91793994344,0.101464381846828,0.339024863118383,0.272755657367211,0.414247041999412,0.240183464837863,0.648854984105492,0.884303566625007,0.0266492455164576
"171100020501",371.2199165443,70625,64.0403528342487,0.058287795992714,0.360333584207985,0.176922085284905,0.533119658119658,0.227564102564103,0.789370397269465,0.926295950692277,0.0210450174728532
"171100020502",688.896499904608,48958,69.1722093151571,0.200303490136571,0.457227250614669,0.0948798002547869,0.571177504393673,0.16871704745167,0.845969970301617,0.934692273759381,0.0203191183846929
"171100020600",233.220489997631,59092.4005490646,468.105791481869,0.133184000993584,0.4768448326565,0.112405660131431,0.409143552727696,0.246302671249541,0.839464213042261,0.910464310068003,0.0281704460812171
"171100030100",5574.66843216258,49037.3447060196,217.761781001082,0.120286218139042,0.326197201684382,0.209636160054288,0.533163865848683,0.157943385237372,0.688615908394807,0.910201333944556,0.0208032724323073
"171100030200",2522.2221785411,48601.9118890025,70.7504888627892,0.1411146279437,0.389810263721279,0.153960206310131,0.551920166653269,0.142995014037764,0.760301484058167,0.912915577457355,0.0213790940202719
"171100030300",7660.39330686766,58720.7758623316,407.13017119916,0.0879497377622324,0.321614186346012,0.231503735428774,0.483179932418693,0.191748338217618,0.70403831908532,0.892962875323912,0.0186648689021321
"171100030500",11.7160654645238,52270.8902012023,164.860951177857,0.123067081096893,0.445716584173038,0.168774550859674,0.53566295135643,0.154272233262642,0.71648835786801,0.930909020116739,0.0107196426798055
"171100040101",0.062294223663613,67500,0.00282591528601734,0.150684931506849,1,0,0.767676767676768,0.181818181818182,0,1,0
"171100040102",0.0637552828635567,67500,0.00282591528601734,0.150684931506849,1,0,0.767676767676768,0.181818181818182,0,1,0
"171100040103",0.17670805196812,67500,0.00282591528601734,0.150684931506849,1,0,0.767676767676768,0.181818181818182,0,1,0
"171100040104",59.7637426601794,67500,76.4660020252547,0.150684931506849,0.159771699221186,0.166984796651095,0.767676767676768,0.181818181818182,0.904335813019582,0.871208104393736,0.0834847559631886
"171100040105",12.4744228095148,40654,1.66802550719346,0.226523476523477,0.148148148148148,0.148148148148148,0.14519056261343,0.323049001814882,0.796296296296296,0.918181818181818,0.0363636363636364
"171100040106",203.885533989479,62401.270253073,102.115861250886,0.148657406420948,0.192206317794812,0.189194382678715,0.660244617229149,0.211664050467358,0.674615371475918,0.964181302308625,0.00986160467169396
