"HUC_12","BARREN","DECIDUOUS_FOR","EVERGREEN_FOR","GRASS_HERB","HERB_WETLANDS","ICE_SNOW","MIXED_FOR","SHRUB_SCRUB","WATER","WOOD_WETLANDS","CROPS","DEVELOPED_LOW","DEVELOPED_MED","DEVELOPED_OPEN","DEVELOPED_HIGH","PASTURE","HUC12_IMP"
171100130101,0.000236558378341925,0.00258063591282829,0.849857366805869,0.00851088597252717,0,0,0.000838706542034894,0.110425221951022,0,7.63232029316764e-05,0,0.00397237197079122,2.15052998398231e-05,0.0234804165149276,0,0,1.20604394056686
171100130102,0.000167338282002856,0.00255890062576875,0.809064450817232,0.0116918853072847,0.000200806014155336,0,0.00830738661716286,0.129391635841412,3.34676623463782e-05,0.00473620668115405,0,0.00462107041101883,0.000126544524665991,0.0291003026807641,0,0,1.2974585936912
171100130103,8.60314545044788e-05,0.00446047688096402,0.824872013294263,0.00951915443578592,0.000114708651200124,0,0.00597352887708433,0.113008900050924,0.000243755822146698,0.00367807055223971,0,0.00658515715844188,6.15269780481401e-06,0.0242457212855588,0,0.00720633245880955,1.31941101673159
171100130104,0.000870484016749709,0.00419694317036653,0.788161021699362,0.0302158819563605,0.000937620370334615,0,0.0280763432400578,0.112197167364275,0.000510482162685836,0.00752384563238471,0,0.00300262832961842,0.000135434051809589,0.0120308280845425,0,0.0121413188638442,1.14183079993941
171100130105,0.000147776043166965,0.00807478453670003,0.629250776670354,0.0358908184769159,0,0,0.0173721641783271,0.276195201970986,2.53995676200083e-05,0.00444132818373277,9.74399093647098e-05,0.00545631178705311,1.56472071675956e-05,0.0230323616460669,0,0,1.27000634660603
171100130106,0.00618767972115152,0.00858730387708856,0.748241795506315,0.0124378596601216,1.86394377008947e-05,0,0.065203098517141,0.137623329516119,0.000258472297508041,0.00407769101729216,0.0101728971138029,0.00165878610340689,3.72788754925207e-05,0.00488006726330053,0,0.00061510150179953,1.07013736872877
171100130201,0.0006537372804839,0.0207153373639301,0.580852730300833,0.0577158219667474,0.000461792963693335,0,0.0562532040746691,0.249639089415246,0.0034292659131549,0.00623713514073758,0,0.0016221679177907,1.18861327345551e-05,0.0224078387016335,0,0,1.14995979366721
171100130202,0,0.00307356407736324,0.761637979483705,0.0173827377626506,0.00107230137555041,0,0.0404043917006594,0.140622367580907,0.00798885724429791,0.00793959296530511,0,0.00492137348053714,8.29207778257748e-05,0.0148725444623631,1.36072659181622e-06,0,1.23633426362202
171100130203,0.000348719263686879,0.0179221392568076,0.676599204889846,0.0247134807876826,0.0100880278445629,0,0.106936141687221,0.115441435681079,0.0268632433319858,0.00410246697563191,0,0.00306347054757462,0.000375270268784591,0.0135329881640683,1.3412279290579e-05,0,1.2017361467331
171100130204,0.00693354172234232,0.0255060118775777,0.61295993132341,0.0184469271432519,8.8891550669323e-05,0,0.204565730870808,0.0875985440818881,0.00697906328940459,0.00488920617583581,2.22228876974099e-05,0.0094033136898389,0.000650178329401581,0.0218675609807288,8.88915104311195e-05,0,1.43388333563631
