HUC_12,instream_act,riparian_act,land_act,fishpass_act,instream_cst,n_instream_huc,n_instream_cst,riparian_cst,n_riparian_huc,n_riparian_cst,land_cst,n_land_huc,n_land_cst,main_cst,n_main_huc,n_main_cst,prj_cst,n_prj_cst,n_prj_huc,n_worksites
171100200103,0,2,2,1,0,0,0,NA,1,0,11218.203772327935,1,1,278592.161995753,3,3,1037064.4617045139,4,6,6
171100200201,3,2,3,0,163188.57433586512,2,2,0,0,0,208153.82111639323,1,1,925374.757991663,5,5,925374.757991663,3,5,5
171100200202,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,0,0,123396.34454652877,2,2,2
171100200203,4,0,2,4,1829056.3637559968,3,3,0,0,0,NA,1,0,2017036.9280578026,5,5,4115750.8609668855,5,11,13
171100200204,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,1,0,382245.4582188344,2,3,3
171100200301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100200302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100200303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100200304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100200305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100200306,2,0,0,0,0,0,0,0,0,0,0,0,0,23899.56039155537,1,1,105033.95949406289,11,11,12
171100200307,7,3,8,3,2468501.791612729,3,3,174219.9696275514,1,1,2694786.3042493397,5,5,7147795.330070081,14,14,19523281.84484135,20,28,32
171100200401,1,1,0,0,0,0,0,0,0,0,0,0,0,140476.02746249357,1,1,140476.02746249357,1,1,1
171100200402,3,1,3,0,638701.8328649217,1,1,0,0,0,0,0,0,1826863.2495059078,4,4,1826863.2495059078,2,4,4
171100200403,6,1,3,0,NA,1,0,0,0,0,0,0,0,3663238.066338055,8,8,3663238.066338055,4,8,8
171100200404,0,0,1,0,0,0,0,0,0,0,0,0,0,1187559.338366718,1,1,1240906.1638168034,2,2,3
171100200405,1,0,0,2,0,0,0,0,0,0,0,0,0,159041.01044434987,1,1,318082.02088869974,2,3,3
171100200501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100200502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100200503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100200504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100200505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100200506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100200507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100200508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100200509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100200510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100200511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100200512,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,0,0,572089.9656271578,1,2,2
171100200513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100200514,10,2,0,2,147731.47553413818,4,4,0,0,0,0,0,0,3203019.506518943,7,7,4822803.771522158,6,11,13
171100200700,3,3,4,0,0,0,0,1207624.0372120808,1,1,NA,2,0,8913062.764657965,7,7,17925879.557280336,4,10,10
171100210101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100210102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100210103,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,0,0,486100.67980790115,2,3,3
171100210201,3,0,0,15,102289.38436363636,1,1,0,0,0,0,0,0,1344845.2301829488,3,3,4560757.0481592165,9,10,18
